"Aimag","Sex","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2014","2015","2016","2017","2018","2019","2020"
"Total","Total","24.4","31.9","37.8","48.1","55.4","62.3","65.2","71.3","81.5","93.0","101.2","127.7","173.0","274.2","300.4","341.5","424.2","557.6","796.6","808.0","861.9","944.5","1,002.9","1,124.3","1,220.6"
