"Goods and services","Aimag","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Beef, without bones, kg","Ulaanbaatar","4,640","5,380","5,415","5,070","4,845","5,160","5,290","5,515","5,365","5,265","5,250","5,280","5,445","6,080","7,400","8,505","8,665","9,110","9,300","9,260","8,870","8,460","8,285","8,140","8,245","8,454","9,000","9,300","9,970","9,970","9,920","9,890","9,600","9,565","9,150","8,751","8,860","9,830","9,840","9,970","10,470","10,730","10,780","9,610","8,835","9,410","9,716","9,520","9,395","9,742","9,781","9,840","10,347","10,691","10,894","10,600","9,545","9,248","8,419","7,828","7,603","7,930","8,419","8,638","9,976","10,123","9,946","9,466","8,667","8,011","7,271","7,231","7,524","8,230","8,583","9,004","9,345","9,436","9,301","9,110","8,515","8,371","8,279","8,165","7,975","8,001","8,464","9,277","10,016","10,188","10,535","10,814","9,981","9,480","9,360","9,349","10,000","10,794","11,062","11,293","11,801"
"Mutton, with bones, kg","Ulaanbaatar","3,710","4,205","4,250","3,810","3,610","4,105","4,040","4,244","4,255","4,325","4,135","4,100","4,405","4,985","5,905","7,025","7,015","7,190","7,200","7,600","7,200","6,915","6,230","6,130","6,250","6,478","7,095","7,060","7,420","7,490","7,470","7,420","6,710","6,540","6,215","6,083","6,250","6,850","7,400","7,560","7,630","7,800","7,685","6,960","6,585","6,392","5,965","5,836","5,825","6,778","6,925","7,272","7,837","7,973","7,858","7,384","6,887","6,293","5,463","4,946","4,625","5,247","5,997","6,408","7,381","7,335","7,029","6,575","6,139","5,645","4,871","4,443","4,864","5,648","6,026","6,669","7,079","7,235","6,698","6,636","6,393","6,208","5,759","5,379","5,141","5,232","5,943","6,533","7,289","7,488","7,514","7,533","6,977","6,412","6,437","6,689","6,692","7,156","7,324","7,938","8,710"
"Goat meat, with bones, kg","Ulaanbaatar","2,590","3,165","3,395","3,260","2,805","3,045","3,050","3,180","3,260","3,270","3,265","3,250","3,415","4,135","4,460","5,565","5,480","5,530","5,815","5,855","5,840","5,750","5,010","4,750","4,705","5,144","5,840","5,850","6,155","6,150","6,090","6,050","5,830","5,950","5,430","4,876","5,020","5,550","5,670","5,720","5,650","5,780","6,080","6,200","5,738.75","5,623","5,315","4,980","4,735","4,931","5,012","5,558","6,234","6,312","6,343","5,889","5,382","4,830","3,995","3,631","3,340","3,621","4,204","4,743","5,256","5,369","5,225","5,407","4,892","4,500","3,849","3,540","3,667","4,300","4,379","4,664","4,981","5,181","4,918","4,821","4,513","4,435","4,131","3,779","3,548","3,612","4,067","4,685","5,261","5,039","5,188","5,504","5,244","4,700","4,815","4,973","5,319","5,809","5,966","6,020","6,399"
"Chicken, thigh, kg, imported","Ulaanbaatar","4,420","4,285","4,195","4,090","3,910","3,830","3,850","3,750","3,600","3,750","3,630","3,630","3,690","3,770","3,925","3,950","4,035","4,035","4,275","4,350","5,500","4,650","6,560","6,560","6,560","6,560","6,000","5,425","5,000","4,985","5,045","4,845","4,855","5,070","5,040","5,040","5,040","5,040","5,000","5,455","6,500","6,980","7,049.5","7,182.78","7,261.11","7,261.11","7,261.11","6,626.67","6,526.67","6,799","6,799","6,799","6,843","6,843","6,800","6,800","6,746","6,885","6,885","6,923","6,896","6,715","6,679","6,679","6,679","6,679","6,823","6,838","6,838","6,838","6,902","6,779","6,722","6,600","6,651","6,651","6,651","6,651","6,691","6,721","6,681","6,681","6,635","6,623","6,520","6,411","6,425","6,425","6,339","6,704","7,081","6,921","7,045","6,858","7,136","7,536","7,742","8,067","8,091","8,233","8,233"
"Horse meat, with bones, kg","Ulaanbaatar","2,710","3,460","3,605","3,535","3,290","3,370","3,630","3,705","3,690","3,650","3,640","3,520","3,720","4,360","4,830","6,230","6,160","6,180","6,460","6,375","6,150","5,810","5,220","5,475","5,520","5,637","6,170","6,250","6,215","6,400","6,395","6,290","5,730","6,140","5,390","5,411","5,670","6,430","6,500","6,545","6,600","6,725","6,605","6,200","5,728.75","5,664","5,518","5,390","5,435","5,675","5,675","5,750","5,954","6,037","6,225","6,159","5,575","5,355","4,856","4,606","4,714","4,825","4,825","4,835","5,650","5,743","5,689","5,000","4,818","4,550","4,550","4,550","4,550","4,644","4,625","4,824","6,315","6,397","5,734","5,358","5,325","5,212","4,993","4,900","4,900","5,075","5,519","5,649","6,075","6,075","6,275","6,831","6,274","6,081","5,845","5,868","6,378","6,702","6,747","6,745","6,721"
