date,product,market,size,price
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Bumbugur,kg,1750.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Emart,kg,1860.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Kharkhorin,kg,1700.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Khuchit Shonkhor,kg,1850.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Max/M Mart,kg,1780.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Mercury/Ikh Nayad,kg,1800.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Nomin,kg,1799.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Orgil,kg,1780.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Sansar,kg,1750.0
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Saruul,kg,
2019-01-02,"Altan Taria Packaged Flour, Top Grade",Tavan Erdene,kg,1700.0
2019-01-02,"Apple, Fuji",Bars,kg,4000.0
2019-01-02,"Apple, Fuji",Bayanzurkh,kg,4500.0
2019-01-02,"Apple, Fuji",Bumbugur,kg,4500.0
2019-01-02,"Apple, Fuji",Emart,kg,
2019-01-02,"Apple, Fuji",Kharkhorin,kg,4000.0
2019-01-02,"Apple, Fuji",Khuchit Shonkhor,kg,4000.0
2019-01-02,"Apple, Fuji",Max/M Mart,kg,4500.0
2019-01-02,"Apple, Fuji",Mercury/Ikh Nayad,kg,
2019-01-02,"Apple, Fuji",Nomin,kg,4199.0
2019-01-02,"Apple, Fuji",Orgil,kg,4800.0
2019-01-02,"Apple, Fuji",Sansar,kg,4500.0
2019-01-02,"Apple, Fuji",Saruul,kg,
2019-01-02,"Apple, Fuji",Tavan Erdene,kg,4500.0
2019-01-02,Atar Brand Bread,Bars,each,1200.0
2019-01-02,Atar Brand Bread,Bayanzurkh,each,1200.0
2019-01-02,Atar Brand Bread,Bumbugur,each,1200.0
2019-01-02,Atar Brand Bread,Emart,each,1310.0
2019-01-02,Atar Brand Bread,Kharkhorin,each,1200.0
2019-01-02,Atar Brand Bread,Khuchit Shonkhor,each,1250.0
2019-01-02,Atar Brand Bread,Max/M Mart,each,1310.0
2019-01-02,Atar Brand Bread,Mercury/Ikh Nayad,each,1300.0
2019-01-02,Atar Brand Bread,Nomin,each,1239.0
2019-01-02,Atar Brand Bread,Orgil,each,1240.0
2019-01-02,Atar Brand Bread,Sansar,each,1320.0
2019-01-02,Atar Brand Bread,Saruul,each,
2019-01-02,Atar Brand Bread,Tavan Erdene,each,1250.0
2019-01-02,Beef Boneless,Bars,kg,10000.0
2019-01-02,Beef Boneless,Bayanzurkh,kg,10000.0
2019-01-02,Beef Boneless,Bumbugur,kg,10000.0
2019-01-02,Beef Boneless,Emart,kg,10200.0
2019-01-02,Beef Boneless,Kharkhorin,kg,9500.0
2019-01-02,Beef Boneless,Khuchit Shonkhor,kg,10000.0
2019-01-02,Beef Boneless,Max/M Mart,kg,10500.0
2019-01-02,Beef Boneless,Mercury/Ikh Nayad,kg,12000.0
2019-01-02,Beef Boneless,Nomin,kg,10299.0
2019-01-02,Beef Boneless,Orgil,kg,
2019-01-02,Beef Boneless,Sansar,kg,
2019-01-02,Beef Boneless,Saruul,kg,
2019-01-02,Beef Boneless,Tavan Erdene,kg,10500.0
2019-01-02,Beef w/Bones,Bars,kg,8500.0
2019-01-02,Beef w/Bones,Bayanzurkh,kg,8000.0
2019-01-02,Beef w/Bones,Bumbugur,kg,8500.0
2019-01-02,Beef w/Bones,Emart,kg,8900.0
2019-01-02,Beef w/Bones,Kharkhorin,kg,7500.0
2019-01-02,Beef w/Bones,Khuchit Shonkhor,kg,8500.0
2019-01-02,Beef w/Bones,Max/M Mart,kg,
2019-01-02,Beef w/Bones,Mercury/Ikh Nayad,kg,9500.0
2019-01-02,Beef w/Bones,Nomin,kg,9299.0
2019-01-02,Beef w/Bones,Orgil,kg,
2019-01-02,Beef w/Bones,Sansar,kg,
2019-01-02,Beef w/Bones,Saruul,kg,
2019-01-02,Beef w/Bones,Tavan Erdene,kg,8500.0
2019-01-02,"Beet, Mongolian",Bars,kg,1200.0
2019-01-02,"Beet, Mongolian",Bayanzurkh,kg,1500.0
2019-01-02,"Beet, Mongolian",Bumbugur,kg,1500.0
2019-01-02,"Beet, Mongolian",Emart,kg,
2019-01-02,"Beet, Mongolian",Kharkhorin,kg,1200.0
2019-01-02,"Beet, Mongolian",Khuchit Shonkhor,kg,1200.0
2019-01-02,"Beet, Mongolian",Max/M Mart,kg,
2019-01-02,"Beet, Mongolian",Mercury/Ikh Nayad,kg,1500.0
2019-01-02,"Beet, Mongolian",Nomin,kg,1499.0
2019-01-02,"Beet, Mongolian",Orgil,kg,
2019-01-02,"Beet, Mongolian",Sansar,kg,
2019-01-02,"Beet, Mongolian",Saruul,kg,
2019-01-02,"Beet, Mongolian",Tavan Erdene,kg,1500.0
2019-01-02,Brown Bread,Bars,300 g,900.0
2019-01-02,Brown Bread,Bayanzurkh,300 g,950.0
2019-01-02,Brown Bread,Bumbugur,300 g,850.0
2019-01-02,Brown Bread,Emart,300 g,990.0
2019-01-02,Brown Bread,Kharkhorin,300 g,900.0
2019-01-02,Brown Bread,Khuchit Shonkhor,300 g,950.0
2019-01-02,Brown Bread,Max/M Mart,300 g,1040.0
2019-01-02,Brown Bread,Mercury/Ikh Nayad,300 g,1000.0
2019-01-02,Brown Bread,Nomin,300 g,969.0
2019-01-02,Brown Bread,Orgil,300 g,1020.0
2019-01-02,Brown Bread,Sansar,300 g,980.0
2019-01-02,Brown Bread,Saruul,300 g,
2019-01-02,Brown Bread,Tavan Erdene,300 g,950.0
2019-01-02,"Butter, Suu LTD",Bars,kg,4200.0
2019-01-02,"Butter, Suu LTD",Bayanzurkh,kg,4200.0
2019-01-02,"Butter, Suu LTD",Bumbugur,kg,
2019-01-02,"Butter, Suu LTD",Emart,kg,
2019-01-02,"Butter, Suu LTD",Kharkhorin,kg,
2019-01-02,"Butter, Suu LTD",Khuchit Shonkhor,kg,4500.0
2019-01-02,"Butter, Suu LTD",Max/M Mart,kg,4290.0
2019-01-02,"Butter, Suu LTD",Mercury/Ikh Nayad,kg,
2019-01-02,"Butter, Suu LTD",Nomin,kg,
2019-01-02,"Butter, Suu LTD",Orgil,kg,
2019-01-02,"Butter, Suu LTD",Sansar,kg,
2019-01-02,"Butter, Suu LTD",Saruul,kg,
2019-01-02,"Butter, Suu LTD",Tavan Erdene,kg,
2019-01-02,"Cabbage, Mongolian",Bars,kg,900.0
2019-01-02,"Cabbage, Mongolian",Bayanzurkh,kg,800.0
2019-01-02,"Cabbage, Mongolian",Bumbugur,kg,1000.0
2019-01-02,"Cabbage, Mongolian",Emart,kg,790.0
2019-01-02,"Cabbage, Mongolian",Kharkhorin,kg,700.0
2019-01-02,"Cabbage, Mongolian",Khuchit Shonkhor,kg,1000.0
2019-01-02,"Cabbage, Mongolian",Max/M Mart,kg,1440.0
2019-01-02,"Cabbage, Mongolian",Mercury/Ikh Nayad,kg,1000.0
2019-01-02,"Cabbage, Mongolian",Nomin,kg,1399.0
2019-01-02,"Cabbage, Mongolian",Orgil,kg,1499.0
2019-01-02,"Cabbage, Mongolian",Sansar,kg,1470.0
2019-01-02,"Cabbage, Mongolian",Saruul,kg,
2019-01-02,"Cabbage, Mongolian",Tavan Erdene,kg,900.0
2019-01-02,"Carrot, Mongolian",Bars,kg,900.0
2019-01-02,"Carrot, Mongolian",Bayanzurkh,kg,900.0
2019-01-02,"Carrot, Mongolian",Bumbugur,kg,1000.0
2019-01-02,"Carrot, Mongolian",Emart,kg,1360.0
2019-01-02,"Carrot, Mongolian",Kharkhorin,kg,1000.0
