"Aimag","Sex","2000-IV","2001-I","2001-II","2001-III","2001-IV","2002-I","2002-II","2002-III","2002-IV","2003-I","2003-II","2003-III","2003-IV","2004-I","2004-II","2004-III","2004-IV","2005-I","2005-II","2005-III","2005-IV","2006-I","2006-II","2006-III","2006-IV","2007-I","2007-II","2007-III","2007-IV","2008-I","2008-II","2008-III","2008-IV","2009-I","2009-II","2009-III","2009-IV","2010-I","2010-II","2010-III","2010-IV","2011-I","2011-II","2011-III","2011-IV","2012-I","2012-II","2012-III","2012-IV","2013-I","2014-I","2014-II","2014-III","2014-IV","2015-I","2015-II","2015-III","2015-IV","2016-I","2016-II","2016-III","2016-IV","2017-I","2017-II","2017-III","2017-IV","2018-I","2018-II","2018-III","2018-IV","2019-I","2019-II","2019-III","2019-IV","2020-I","2020-II","2020-III","2020-IV","2021-I","2021-II"
"Total","Total","62.3","60.9","67.7","64.9","67.4","68.0","70.1","71.4","75.5","75.7","84.2","83.1","82.8","87.0","95.0","94.1","96.0","97.7","101.8","100.0","105.4","116.6","128.5","128.1","137.7","154.7","166.2","165.1","205.9","250.0","281.8","273.7","291.1","288.0","309.2","296.5","308.1","314.4","338.6","333.4","379.4","395.4","427.7","423.2","450.3","495.1","571.1","565.5","598.5","692.3","762.9","786.7","792.8","844.0","851.4","853.9","836.9","868.5","871.4","888.0","884.3","942.9","959.1","966.6","955.9","1,038.9","998.4","1,025.6","1,031.8","1,120.3","1,157.9","1,161.2","1,166.4","1,242.7","1,259.7","1,261.3","1,269.1","1,328.1","1,314.9","1,330.4"
"Ulaanbaatar","Total","74.4","73.4","81.5","78.4","76.7","77.0","81.6","83.4","86.2","80.1","96.0","91.8","89.6","87.6","95.7","101.2","100.2","101.1","101.3","103.2","110.4","120.2","133.6","135.7","144.2","166.2","177.6","179.7","219.9","244.3","274.1","281.1","301.6","308.7","341.0","328.7","337.3","340.8","379.9","363.1","416.4","430.3","462.1","478.6","510.1","556.8","618.1","615.8","652.2","731.6","834.3","849.2","872.7","921.5","925.3","924.6","915.2","956.2","963.6","975.0","","1,053.3","1,081.4","1,099.8","1,075.1","1,167.8","1,116.6","1,147.3","1,156.2","1,255.7","1,279.5","1,282.6","1,284.3","1,365.9","1,359.3","1,371.1","1,367.4","1,423.2","1,415.8","1,433.1"
