"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Улиастай","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","2"
"Улиастай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Улиастай","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","1",""
"Улиастай","Эдийн засгийн гэмт хэрэг","","1"
"Улиастай","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","1"
"Улиастай","Авлигын эсрэг","3","4"
"Улиастай","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","3"
"Алдархаан","Улсын дүн","19","20"
"Алдархаан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","3"
"Алдархаан","Өмчлөх эрхийн эсрэг","10","10"
"Алдархаан","Хулгайлах","4","2"
"Алдархаан","Мал хулгайлах","5","6"
"Алдархаан","Залилах","","2"
"Алдархаан","Хүрээлэн байгаа орчны эсрэг","3","5"
"Алдархаан","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3","1"
"Алдархаан","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Алдархаан","Авлигын эсрэг","1",""
"Асгат","Улсын дүн","3","1"
"Асгат","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","1"
"Асгат","Өмчлөх эрхийн эсрэг","2",""
"Асгат","Хулгайлах","1",""
"Асгат","Мал хулгайлах","1",""
"Асгат","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Баянтэс","Улсын дүн","2","8"
"Баянтэс","Үндэсний аюулгүй байдлын эсрэг","","1"
"Баянтэс","Хүний амьд явах эрхийн эсрэг","1",""
"Баянтэс","Хүнийг  санаатай алах","1",""
"Баянтэс","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","1"
"Баянтэс","Өмчлөх эрхийн эсрэг","","3"
"Баянтэс","Хулгайлах","","2"
"Баянтэс","Хөрөнгө завших","","1"
"Баянтэс","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Баянтэс","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","2"
"Баянтэс","Авлигын эсрэг","1",""
"Баянхайрхан","Улсын дүн","3","2"
"Баянхайрхан","Хүний амьд явах эрхийн эсрэг","","1"
"Баянхайрхан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
