"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Орхон","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","6","12"
"Орхон","Авлигын эсрэг","20","19"
"Орхон","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","2","10"
"Баян-Өндөр","Улсын дүн","773","724"
"Баян-Өндөр","Хүний амьд явах эрхийн эсрэг","10","21"
"Баян-Өндөр","Хүнийг  санаатай алах","8","3"
"Баян-Өндөр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","2","14"
"Баян-Өндөр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","214","192"
"Баян-Өндөр","Өмчлөх эрхийн эсрэг","435","391"
"Баян-Өндөр","Хулгайлах","295","221"
"Баян-Өндөр","Мал хулгайлах","6","2"
"Баян-Өндөр","Дээрэмдэх","27","8"
"Баян-Өндөр","Залилах","83","112"
"Баян-Өндөр","Хөрөнгө завших","12","13"
"Баян-Өндөр","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","20","30"
"Баян-Өндөр","Хүрээлэн байгаа орчны эсрэг","1","1"
"Баян-Өндөр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","23","26"
"Баян-Өндөр","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","40","17"
"Баян-Өндөр","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","","1"
"Баян-Өндөр","Хүүхдийн эсрэг  гэмт хэрэг","","1"
"Баян-Өндөр","Эдийн засгийн гэмт хэрэг","2","4"
"Баян-Өндөр","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","6","11"
"Баян-Өндөр","Авлигын эсрэг","20","19"
"Баян-Өндөр","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","2","10"
"Жаргалант","Улсын дүн","21","23"
"Жаргалант","Хүний амьд явах эрхийн эсрэг","","0"
"Жаргалант","Хүнийг  санаатай алах","","0"
"Жаргалант","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Жаргалант","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","7","3"
"Жаргалант","Өмчлөх эрхийн эсрэг","3","14"
"Жаргалант","Хулгайлах","2","5"
"Жаргалант","Мал хулгайлах","1","6"
"Жаргалант","Залилах","","2"
"Жаргалант","Хөрөнгө завших","","1"
"Жаргалант","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","3","2"
"Жаргалант","Хүрээлэн байгаа орчны эсрэг","","2"
"Жаргалант","ХАБТХАЖ-ын эсрэг гэмт хэрэг","5","1"
"Жаргалант","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","3",""
"Жаргалант","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","1"
"Бусад","Улсын дүн","","0"
"Бусад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","0"
"Бусад","Өмчлөх эрхийн эсрэг","","0"
"Өвөрхангай","Улсын дүн","670","613"
"Өвөрхангай","Хүний амьд явах эрхийн эсрэг","17","11"
"Өвөрхангай","Хүнийг  санаатай алах","2","3"
"Өвөрхангай","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","12","7"
"Өвөрхангай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","233","180"
"Өвөрхангай","Өмчлөх эрхийн эсрэг","307","324"
"Өвөрхангай","Хулгайлах","224","199"
"Өвөрхангай","Мал хулгайлах","37","57"
"Өвөрхангай","Дээрэмдэх","4","11"
"Өвөрхангай","Залилах","27","28"
"Өвөрхангай","Хөрөнгө завших","1","6"
"Өвөрхангай","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1","2"
"Өвөрхангай","Эрүүл мэндийн эсрэг","0","2"
"Өвөрхангай","Хүрээлэн байгаа орчны эсрэг","33","26"
"Өвөрхангай","ХАБТХАЖ-ын эсрэг гэмт хэрэг","50","27"
"Өвөрхангай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","16","27"
"Өвөрхангай","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","1",""
"Өвөрхангай","Эдийн засгийн гэмт хэрэг","1",""
"Өвөрхангай","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","6","4"
"Өвөрхангай","Авлигын эсрэг","3","6"
"Өвөрхангай","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","2","4"
"Арвайхээр","Улсын дүн","304","298"
"Арвайхээр","Хүний амьд явах эрхийн эсрэг","5","5"
"Арвайхээр","Хүнийг  санаатай алах","","1"
"Арвайхээр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","5","4"
"Арвайхээр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","108","91"
"Арвайхээр","Өмчлөх эрхийн эсрэг","166","172"
"Арвайхээр","Хулгайлах","133","130"
"Арвайхээр","Мал хулгайлах","2",""
"Арвайхээр","Дээрэмдэх","4","9"
"Арвайхээр","Залилах","20","15"
"Арвайхээр","Хөрөнгө завших","1","4"
"Арвайхээр","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","","2"
"Арвайхээр","Эрүүл мэндийн эсрэг","","2"
"Арвайхээр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","13","8"
"Арвайхээр","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","5","14"
"Арвайхээр","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","1",""
"Арвайхээр","Эдийн засгийн гэмт хэрэг","1",""
"Арвайхээр","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","4","3"
"Арвайхээр","Авлигын эсрэг","1","1"
"Баруунбаян-Улаан","Улсын дүн","8","12"
"Баруунбаян-Улаан","Хүний амьд явах эрхийн эсрэг","","0"
"Баруунбаян-Улаан","Хүнийг  санаатай алах","","0"
"Баруунбаян-Улаан","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Баруунбаян-Улаан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","2"
"Баруунбаян-Улаан","Өмчлөх эрхийн эсрэг","3","4"
"Баруунбаян-Улаан","Хулгайлах","2","3"
"Баруунбаян-Улаан","Мал хулгайлах","1",""
"Баруунбаян-Улаан","Залилах","","1"
"Баруунбаян-Улаан","Хүрээлэн байгаа орчны эсрэг","3","4"
"Баруунбаян-Улаан","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Баруунбаян-Улаан","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1","1"
"Бат-Өлзий","Улсын дүн","55","38"
"Бат-Өлзий","Хүний амьд явах эрхийн эсрэг","3",""
"Бат-Өлзий","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","3",""
"Бат-Өлзий","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","20","11"
"Бат-Өлзий","Өмчлөх эрхийн эсрэг","21","11"
"Бат-Өлзий","Хулгайлах","15","7"
"Бат-Өлзий","Мал хулгайлах","5","1"
"Бат-Өлзий","Залилах","1","2"
"Бат-Өлзий","Хүрээлэн байгаа орчны эсрэг","8","13"
"Бат-Өлзий","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2",""
"Бат-Өлзий","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Бат-Өлзий","Авлигын эсрэг","1","1"
"Бат-Өлзий","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Баянгол","Улсын дүн","12","2"
"Баянгол","Хүний амьд явах эрхийн эсрэг","","1"
"Баянгол","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Баянгол","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","6","1"
"Баянгол","Өмчлөх эрхийн эсрэг","5","0"
"Баянгол","Хулгайлах","1",""
"Баянгол","Мал хулгайлах","1",""
"Баянгол","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Баян-Өндөр","Улсын дүн","7","8"
"Баян-Өндөр","Хүний амьд явах эрхийн эсрэг","","0"
"Баян-Өндөр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Баян-Өндөр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","2"
"Баян-Өндөр","Өмчлөх эрхийн эсрэг","4","5"
"Баян-Өндөр","Хулгайлах","2","5"
"Баян-Өндөр","Мал хулгайлах","2",""
"Баян-Өндөр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Баян-Өндөр","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Баян-Өндөр","Авлигын эсрэг","1",""
"Богд","Улсын дүн","28","17"
"Богд","Хүний амьд явах эрхийн эсрэг","2","2"
"Богд","Хүнийг  санаатай алах","","1"
"Богд","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","2","1"
"Богд","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","14","8"
"Богд","Өмчлөх эрхийн эсрэг","9","5"
"Богд","Хулгайлах","6","4"
"Богд","Мал хулгайлах","2","1"
"Богд","Залилах","1",""
"Богд","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Богд","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Богд","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","2",""
"Богд","Авлигын эсрэг","","1"
"Бүрд","Улсын дүн","14","9"
"Бүрд","Хүний амьд явах эрхийн эсрэг","1","0"
"Бүрд","Хүнийг  санаатай алах","1","0"
"Бүрд","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Бүрд","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","4"
"Бүрд","Өмчлөх эрхийн эсрэг","7","1"
"Бүрд","Хулгайлах","4",""
"Бүрд","Мал хулгайлах","2","1"
"Бүрд","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","1"
"Бүрд","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","2"
"Бүрд","Авлигын эсрэг","","1"
"Гучин-Ус","Улсын дүн","17","12"
"Гучин-Ус","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","8","3"
"Гучин-Ус","Өмчлөх эрхийн эсрэг","8","7"
"Гучин-Ус","Хулгайлах","7","4"
"Гучин-Ус","Мал хулгайлах","1","1"
"Гучин-Ус","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Гучин-Ус","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Гучин-Ус","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Есөн зүйл","Улсын дүн","15","6"
"Есөн зүйл","Хүний амьд явах эрхийн эсрэг","1",""
"Есөн зүйл","Хүнийг  санаатай алах","1",""
"Есөн зүйл","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","1"
"Есөн зүйл","Өмчлөх эрхийн эсрэг","3","2"
"Есөн зүйл","Хулгайлах","2",""
"Есөн зүйл","Мал хулгайлах","1","2"
"Есөн зүйл","ХАБТХАЖ-ын эсрэг гэмт хэрэг","5","1"
"Есөн зүйл","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","2","1"
"Есөн зүйл","Авлигын эсрэг","","1"
"Зүүнбаян-Улаан","Улсын дүн","16","16"
"Зүүнбаян-Улаан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","8","2"
"Зүүнбаян-Улаан","Өмчлөх эрхийн эсрэг","4","13"
"Зүүнбаян-Улаан","Хулгайлах","2","2"
"Зүүнбаян-Улаан","Мал хулгайлах","2","10"
"Зүүнбаян-Улаан","Залилах","","1"
"Зүүнбаян-Улаан","Хүрээлэн байгаа орчны эсрэг","1",""
"Зүүнбаян-Улаан","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2",""
"Зүүнбаян-Улаан","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Зүүнбаян-Улаан","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Нарийнтээл","Улсын дүн","19","16"
"Нарийнтээл","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","7","3"
"Нарийнтээл","Өмчлөх эрхийн эсрэг","2","5"
"Нарийнтээл","Хулгайлах","2","2"
"Нарийнтээл","Мал хулгайлах","","1"
"Нарийнтээл","Залилах","","2"
"Нарийнтээл","Хүрээлэн байгаа орчны эсрэг","6","5"
"Нарийнтээл","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","2"
"Нарийнтээл","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Өлзийт","Улсын дүн","1","4"
"Өлзийт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","1"
"Өлзийт","Өмчлөх эрхийн эсрэг","","1"
"Өлзийт","Хулгайлах","","1"
"Өлзийт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","2"
"Сант","Улсын дүн","5","7"
"Сант","Хүний амьд явах эрхийн эсрэг","1",""
"Сант","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","3"
"Сант","Өмчлөх эрхийн эсрэг","","2"
"Сант","Хулгайлах","","1"
"Сант","Хөрөнгө завших","","1"
"Сант","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Сант","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Тарагт","Улсын дүн","22","18"
"Тарагт","Хүний амьд явах эрхийн эсрэг","","2"
"Тарагт","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Тарагт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","2"
"Тарагт","Өмчлөх эрхийн эсрэг","10","13"
"Тарагт","Хулгайлах","4","6"
"Тарагт","Мал хулгайлах","5","5"
"Тарагт","Залилах","1",""
"Тарагт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","6","1"
"Тарагт","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Төгрөг","Улсын дүн","4","7"
"Төгрөг","Хүний амьд явах эрхийн эсрэг","","0"
"Төгрөг","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Төгрөг","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","1"
"Төгрөг","Өмчлөх эрхийн эсрэг","1","5"
"Төгрөг","Хулгайлах","1","3"
"Төгрөг","Мал хулгайлах","","1"
"Төгрөг","Хөрөнгө завших","","1"
"Төгрөг","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Төгрөг","Авлигын эсрэг","","1"
"Уянга","Улсын дүн","29","24"
"Уянга","Хүний амьд явах эрхийн эсрэг","2",""
"Уянга","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","7","6"
"Уянга","Өмчлөх эрхийн эсрэг","6","13"
"Уянга","Хулгайлах","5","5"
"Уянга","Мал хулгайлах","1","5"
"Уянга","Дээрэмдэх","","1"
"Уянга","Залилах","","1"
"Уянга","Хүрээлэн байгаа орчны эсрэг","10","2"
"Уянга","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","1"
"Уянга","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1","2"
"Уянга","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1",""
"Хайрхандулаан","Улсын дүн","20","18"
"Хайрхандулаан","Хүний амьд явах эрхийн эсрэг","1",""
"Хайрхандулаан","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Хайрхандулаан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","9","9"
"Хайрхандулаан","Өмчлөх эрхийн эсрэг","6","4"
"Хайрхандулаан","Хулгайлах","3","2"
"Хайрхандулаан","Мал хулгайлах","1","2"
"Хайрхандулаан","Залилах","1",""
"Хайрхандулаан","Хүрээлэн байгаа орчны эсрэг","","2"
"Хайрхандулаан","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","1"
"Хайрхандулаан","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","2"
"Хархорин","Улсын дүн","69","73"
"Хархорин","Хүний амьд явах эрхийн эсрэг","","1"
"Хархорин","Хүнийг  санаатай алах","","1"
"Хархорин","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","22","22"
"Хархорин","Өмчлөх эрхийн эсрэг","38","42"
"Хархорин","Хулгайлах","23","17"
"Хархорин","Мал хулгайлах","9","17"
"Хархорин","Дээрэмдэх","","1"
"Хархорин","Залилах","3","4"
"Хархорин","Хүрээлэн байгаа орчны эсрэг","1",""
"Хархорин","ХАБТХАЖ-ын эсрэг гэмт хэрэг","5","6"
"Хархорин","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","2","1"
"Хархорин","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1","1"
"Хужирт","Улсын дүн","25","28"
"Хужирт","Хүний амьд явах эрхийн эсрэг","1","0"
"Хужирт","Хүнийг  санаатай алах","","0"
"Хужирт","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Хужирт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","8"
"Хужирт","Өмчлөх эрхийн эсрэг","14","19"
"Хужирт","Хулгайлах","12","7"
"Хужирт","Мал хулгайлах","2","10"
"Хужирт","Залилах","","2"
"Хужирт","Хүрээлэн байгаа орчны эсрэг","4",""
"Хужирт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2",""
"Хужирт","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Хужирт","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Бусад","Улсын дүн","","0"
"Бусад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","0"
"Бусад","Өмчлөх эрхийн эсрэг","","0"
"Булган","Улсын дүн","344","459"
"Булган","Хүний амьд явах эрхийн эсрэг","14","14"
"Булган","Хүнийг  санаатай алах","3","4"
"Булган","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","10","10"
"Булган","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","94","98"
"Булган","Өмчлөх эрхийн эсрэг","144","240"
"Булган","Хулгайлах","84","82"
"Булган","Мал хулгайлах","37","117"
"Булган","Дээрэмдэх","4","3"
"Булган","Залилах","5","18"
"Булган","Хөрөнгө завших","2","6"
"Булган","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","0","1"
"Булган","Эрүүл мэндийн эсрэг","0",""
"Булган","Хүрээлэн байгаа орчны эсрэг","40","46"
"Булган","ХАБТХАЖ-ын эсрэг гэмт хэрэг","30","24"
"Булган","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","5","15"
"Булган","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","2",""
"Булган","Хүүхдийн эсрэг  гэмт хэрэг","1",""
"Булган","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","3","9"
"Булган","Авлигын эсрэг","5","8"
"Булган","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","5","4"
"Булган","Соёлын өвийн эсрэг","1",""
"Булган","Улсын дүн","98","93"
"Булган","Хүний амьд явах эрхийн эсрэг","5","0"
"Булган","Хүнийг  санаатай алах","1","0"
"Булган","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","4","0"
"Булган","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","31","38"
"Булган","Өмчлөх эрхийн эсрэг","47","38"
"Булган","Хулгайлах","38","20"
"Булган","Мал хулгайлах","1","4"
"Булган","Дээрэмдэх","2","1"
"Булган","Залилах","1","2"
"Булган","Хөрөнгө завших","1","3"
"Булган","Хүрээлэн байгаа орчны эсрэг","2","3"
"Булган","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","2"
"Булган","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","2",""
"Булган","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","1",""
"Булган","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1","2"
"Булган","Авлигын эсрэг","3","8"
"Булган","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","4","2"
"Баян-Агт","Улсын дүн","12","13"
"Баян-Агт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","6","0"
"Баян-Агт","Өмчлөх эрхийн эсрэг","6","13"
"Баян-Агт","Хулгайлах","3","2"
"Баян-Агт","Мал хулгайлах","3","10"
"Баян-Агт","Хөрөнгө завших","","1"
"Баяннуур","Улсын дүн","8","12"
"Баяннуур","Хүний амьд явах эрхийн эсрэг","","2"
"Баяннуур","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","2"
"Баяннуур","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","4"
"Баяннуур","Өмчлөх эрхийн эсрэг","1","5"
"Баяннуур","Хулгайлах","","1"
"Баяннуур","Мал хулгайлах","1","3"
"Баяннуур","Залилах","","1"
"Баяннуур","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3","1"
"Баяннуур","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Баяннуур","Авлигын эсрэг","1",""
"Бугат","Улсын дүн","25","39"
"Бугат","Хүний амьд явах эрхийн эсрэг","","2"
"Бугат","Хүнийг  санаатай алах","","1"
"Бугат","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Бугат","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","7","8"
"Бугат","Өмчлөх эрхийн эсрэг","6","12"
"Бугат","Хулгайлах","3","4"
"Бугат","Мал хулгайлах","2","5"
"Бугат","Залилах","1","3"
"Бугат","Хүрээлэн байгаа орчны эсрэг","7","11"
"Бугат","ХАБТХАЖ-ын эсрэг гэмт хэрэг","5","3"
"Бугат","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Бугат","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","2"
"Бүрэгхангай","Улсын дүн","27","28"
"Бүрэгхангай","Хүний амьд явах эрхийн эсрэг","","3"
"Бүрэгхангай","Хүнийг  санаатай алах","","0"
"Бүрэгхангай","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","3"
"Бүрэгхангай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","4"
"Бүрэгхангай","Өмчлөх эрхийн эсрэг","16","13"
"Бүрэгхангай","Хулгайлах","8","4"
"Бүрэгхангай","Мал хулгайлах","5","8"
"Бүрэгхангай","Залилах","1",""
"Бүрэгхангай","Хүрээлэн байгаа орчны эсрэг","6","7"
"Бүрэгхангай","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Бүрэгхангай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Бүрэгхангай","Авлигын эсрэг","1",""
"Бүрэгхангай","Соёлын өвийн эсрэг","1",""
"Гурванбулаг","Улсын дүн","17","21"
"Гурванбулаг","Хүний амьд явах эрхийн эсрэг","1","1"
"Гурванбулаг","Хүнийг  санаатай алах","","1"
"Гурванбулаг","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","0"
"Гурванбулаг","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","8","6"
"Гурванбулаг","Өмчлөх эрхийн эсрэг","6","13"
"Гурванбулаг","Хулгайлах","3","9"
"Гурванбулаг","Мал хулгайлах","3","3"
"Гурванбулаг","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","1"
"Гурванбулаг","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1",""
"Дашинчилэн","Улсын дүн","7","13"
"Дашинчилэн","Хүний амьд явах эрхийн эсрэг","1","0"
"Дашинчилэн","Хүнийг  санаатай алах","1","0"
"Дашинчилэн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","1"
"Дашинчилэн","Өмчлөх эрхийн эсрэг","4","8"
"Дашинчилэн","Хулгайлах","","4"
"Дашинчилэн","Мал хулгайлах","3","2"
"Дашинчилэн","Залилах","","2"
"Дашинчилэн","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","2"
"Дашинчилэн","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","2"
"Могод","Улсын дүн","9","13"
"Могод","Хүний амьд явах эрхийн эсрэг","1",""
"Могод","Хүнийг  санаатай алах","1",""
"Могод","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","4"
"Могод","Өмчлөх эрхийн эсрэг","7","8"
"Могод","Хулгайлах","3","1"
"Могод","Мал хулгайлах","2","7"
"Могод","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","1"
"Орхон","Улсын дүн","35","75"
"Орхон","Хүний амьд явах эрхийн эсрэг","","1"
"Орхон","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Орхон","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","8","7"
"Орхон","Өмчлөх эрхийн эсрэг","14","51"
"Орхон","Хулгайлах","4","13"
"Орхон","Мал хулгайлах","8","37"
"Орхон","Дээрэмдэх","1","1"
"Орхон","Хүрээлэн байгаа орчны эсрэг","10","9"
"Орхон","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","3"
"Орхон","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1","1"
"Орхон","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1","2"
"Орхон","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Рашаант","Улсын дүн","10","16"
"Рашаант","Хүний амьд явах эрхийн эсрэг","","2"
"Рашаант","Хүнийг  санаатай алах","","1"
"Рашаант","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Рашаант","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","1"
"Рашаант","Өмчлөх эрхийн эсрэг","5","10"
"Рашаант","Хулгайлах","5","4"
"Рашаант","Мал хулгайлах","","2"
"Рашаант","Дээрэмдэх","","1"
"Рашаант","Залилах","","2"
"Рашаант","ХАБТХАЖ-ын эсрэг гэмт хэрэг","5","2"
"Рашаант","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","1"
"Сайхан","Улсын дүн","10","21"
"Сайхан","Хүний амьд явах эрхийн эсрэг","","0"
"Сайхан","Хүнийг  санаатай алах","","0"
"Сайхан","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Сайхан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","5"
"Сайхан","Өмчлөх эрхийн эсрэг","8","14"
"Сайхан","Хулгайлах","5","4"
"Сайхан","Мал хулгайлах","3","7"
"Сайхан","Залилах","","3"
"Сайхан","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
