"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Бусдын бие махбодид гэмтэл учруулах","Булнай","9","15","18","9","13","8","19","9"
"Бусдын бие махбодид гэмтэл учруулах","Түдэвтэй","3","1","","4","2","","",""
"Бусдын бие махбодид гэмтэл учруулах","Тэлмэн","","","3","2","","1","","1"
"Бусдын бие махбодид гэмтэл учруулах","Тэс","4","4","2","6","5","1","",""
"Бусдын бие махбодид гэмтэл учруулах","Ургамал","1","1","","","41","38","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Цагаанхайрхан","","1","5","1","2","","","1"
"Бусдын бие махбодид гэмтэл учруулах","Цагаанчулуут","1","1","1","4","2","3","",""
"Бусдын бие махбодид гэмтэл учруулах","Цэцэн-Уул","","1","","1","4","","2","2"
"Бусдын бие махбодид гэмтэл учруулах","Шилүүстэй","11","7","10","2","","","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэхайрхан","1","4","3","3","4","","",""
"Бусдын бие махбодид гэмтэл учруулах","Яруу","2","2","","","2","2","","1"
"Бусдын бие махбодид гэмтэл учруулах","Говь-Алтай","26","19","42","54","75","74","71","73"
"Бусдын бие махбодид гэмтэл учруулах","Есөнбулаг","3","5","27","23","41","41","47","43"
"Бусдын бие махбодид гэмтэл учруулах","Алтай","2","3","","4","2","1","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Уул","1","1","2","1","5","1","2","1"
"Бусдын бие махбодид гэмтэл учруулах","Бигэр","2","1","","1","4","","4",""
"Бусдын бие махбодид гэмтэл учруулах","Бугат","1","","","1","1","","","4"
"Бусдын бие махбодид гэмтэл учруулах","Дарви","1","","","","","1","",""
"Бусдын бие махбодид гэмтэл учруулах","Дэлгэр","","1","","2","6","4","2","2"
"Бусдын бие махбодид гэмтэл учруулах","Жаргалан","1","1","2","5","","3","1","2"
"Бусдын бие махбодид гэмтэл учруулах","Тайшир","1","","2","1","2","1","","3"
"Бусдын бие махбодид гэмтэл учруулах","Тонхил","2","1","","1","2","2","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Төгрөг","1","1","","2","1","5","","1"
"Бусдын бие махбодид гэмтэл учруулах","Халиун","2","","","","","1","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Хөхморьт","1","","","1","3","3","","1"
"Бусдын бие махбодид гэмтэл учруулах","Цогт","2","","2","4","3","","3","5"
"Бусдын бие махбодид гэмтэл учруулах","Цээл","1","4","4","5","1","2","1","2"
"Бусдын бие махбодид гэмтэл учруулах","Чандмань","2","1","1","1","1","3","2","2"
"Бусдын бие махбодид гэмтэл учруулах","Шарга","1","","","2","1","2","4","4"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэ","2","","2","","2","4","",""
"Бусдын бие махбодид гэмтэл учруулах","Баян-Өлгий","169","158","238","218","154","122","155","171"
"Бусдын бие махбодид гэмтэл учруулах","Өлгий","87","66","130","120","68","60","53","85"
"Бусдын бие махбодид гэмтэл учруулах","Алтай","4","7","4","4","13","7","7","7"
"Бусдын бие махбодид гэмтэл учруулах","Алтанцөгц","2","3","2","4","8","5","7","2"
"Бусдын бие махбодид гэмтэл учруулах","Баяннуур","11","12","15","10","10","4","16","6"
"Бусдын бие махбодид гэмтэл учруулах","Бугат","6","2","9","8","8","3","8","5"
"Бусдын бие махбодид гэмтэл учруулах","Булган","2","4","4","6","3","2","3","2"
"Бусдын бие махбодид гэмтэл учруулах","Буянт","4","10","4","8","3","8","9","10"
"Бусдын бие махбодид гэмтэл учруулах","Дэлүүн","7","4","8","6","2","5","6","9"
"Бусдын бие махбодид гэмтэл учруулах","Ногооннуур","13","13","13","10","10","4","10","8"
"Бусдын бие махбодид гэмтэл учруулах","Сагсай","9","1","8","7","2","3","5","10"
"Бусдын бие махбодид гэмтэл учруулах","Толбо","4","5","13","9","4","","3","4"
"Бусдын бие махбодид гэмтэл учруулах","Улаанхус","10","11","15","13","9","4","17","6"
"Бусдын бие махбодид гэмтэл учруулах","Цэнгэл","10","20","13","13","14","17","11","17"
"Бусдын бие махбодид гэмтэл учруулах","Ховд","82","90","88","114","136","208","131","126"
"Бусдын бие махбодид гэмтэл учруулах","Жаргалант","36","39","51","50","69","108","75","7"
"Бусдын бие махбодид гэмтэл учруулах","Алтай","6","1","","4","1","8","3","4"
"Бусдын бие махбодид гэмтэл учруулах","Булган","12","23","15","14","16","24","15","3"
"Бусдын бие махбодид гэмтэл учруулах","Буянт","","2","10","7","9","10","3","7"
"Бусдын бие махбодид гэмтэл учруулах","Дарви","3","3","","3","","3","4",""
"Бусдын бие махбодид гэмтэл учруулах","Дөргөн","1","","","1","5","4","","32"
"Бусдын бие махбодид гэмтэл учруулах","Дуут","3","2","1","","2","3","1","46"
"Бусдын бие махбодид гэмтэл учруулах","Зэрэг","1","2","","6","3","5","","5"
"Бусдын бие махбодид гэмтэл учруулах","Манхан","3","4","1","3","8","12","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Мөнххайрхан","1","","","2","","5","","4"
"Бусдын бие махбодид гэмтэл учруулах","Мөст","3","","","5","3","10","6","3"
"Бусдын бие махбодид гэмтэл учруулах","Мянгад","2","3","1","1","2","","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Үенч","4","3","4","4","2","1","2","1"
"Бусдын бие махбодид гэмтэл учруулах","Ховд","4","5","3","8","6","4","3","3"
"Бусдын бие махбодид гэмтэл учруулах","Цэцэг","","1","1","4","3","5","4","2"
"Бусдын бие махбодид гэмтэл учруулах","Чандмань","1","2","","1","3","3","3","5"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэбүрэн","2","","1","1","4","3","7",""
"Бусдын бие махбодид гэмтэл учруулах","Увс","93","90","92","112","140","151","139","153"
"Бусдын бие махбодид гэмтэл учруулах","Улаангом","59","57","56","64","86","84","68","76"
"Бусдын бие махбодид гэмтэл учруулах","Баруунтуруун","3","3","4","3","1","3","3","4"
"Бусдын бие махбодид гэмтэл учруулах","Бөхмөрөн","","2","1","1","2","5","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Давст","2","","2","","","3","2","2"
"Бусдын бие махбодид гэмтэл учруулах","Завхан","2","1","1","3","3","1","3","3"
"Бусдын бие махбодид гэмтэл учруулах","Зүүнговь","","2","","1","2","2","7","3"
"Бусдын бие махбодид гэмтэл учруулах","Зүүнхангай","","1","2","1","1","3","6","3"
"Бусдын бие махбодид гэмтэл учруулах","Малчин","2","2","2","1","3","2","1","2"
"Бусдын бие махбодид гэмтэл учруулах","Наранбулаг","2","3","2","7","8","5","1","8"
"Бусдын бие махбодид гэмтэл учруулах","Өлгий","","1","","1","3","8","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Өмнөговь","1","1","7","7","2","3","4","6"
"Бусдын бие махбодид гэмтэл учруулах","Өндөрхангай","3","1","","2","3","1","3","6"
"Бусдын бие махбодид гэмтэл учруулах","Сагил","2","3","3","4","7","3","6","3"
"Бусдын бие махбодид гэмтэл учруулах","Тариалан","6","1","4","3","7","4","3","8"
"Бусдын бие махбодид гэмтэл учруулах","Түргэн","2","2","2","4","","5","1","6"
"Бусдын бие махбодид гэмтэл учруулах","Тэс","1","1","5","4","5","6","10","14"
"Бусдын бие махбодид гэмтэл учруулах","Ховд","3","2","","3","1","2","8","3"
"Бусдын бие махбодид гэмтэл учруулах","Хяргас","1","4","","2","1","3","5","1"
"Бусдын бие махбодид гэмтэл учруулах","Цагаанхайрхан","4","3","1","1","5","8","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Хангайн бүс","738","741","806","944","995","968","1,008","1,182"
"Бусдын бие махбодид гэмтэл учруулах","Орхон","149","165","192","209","226","230","218","284"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Өндөр","144","161","184","202","219","224","212","277"
"Бусдын бие махбодид гэмтэл учруулах","Жаргалант","5","4","8","7","7","6","6","7"
"Бусдын бие махбодид гэмтэл учруулах","Өвөрхангай","149","150","191","191","172","152","159","139"
"Бусдын бие махбодид гэмтэл учруулах","Арвайхээр","36","48","64","75","58","63","60","45"
"Бусдын бие махбодид гэмтэл учруулах","Баруунбаян-Улаан","2","2","3","2","3","3","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Бат-Өлзий","14","7","","","7","11","12","10"
"Бусдын бие махбодид гэмтэл учруулах","Баянгол","","","3","5","3","","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Өндөр","1","2","","10","4","2","3","3"
"Бусдын бие махбодид гэмтэл учруулах","Богд","","6","3","5","11","7","6","7"
"Бусдын бие махбодид гэмтэл учруулах","Бүрд","3","9","4","1","1","5","4","5"
"Бусдын бие махбодид гэмтэл учруулах","Гучин-Ус","2","","3","1","","1","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Есөн зүйл","1","8","2","3","5","2","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Зүүнбаян-Улаан","5","3","34","25","5","4","5","7"
"Бусдын бие махбодид гэмтэл учруулах","Нарийнтээл","5","","3","3","2","1","1","4"
"Бусдын бие махбодид гэмтэл учруулах","Өлзийт","1","3","5","1","2","","4","1"
"Бусдын бие махбодид гэмтэл учруулах","Сант","2","2","3","8","3","3","1","2"
"Бусдын бие махбодид гэмтэл учруулах","Тарагт","2","7","5","8","11","10","9","5"
"Бусдын бие махбодид гэмтэл учруулах","Төгрөг","8","","5","3","6","1","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Уянга","34","25","14","14","15","11","10","5"
"Бусдын бие махбодид гэмтэл учруулах","Хайрхандулаан","2","","3","6","2","2","6","4"
"Бусдын бие махбодид гэмтэл учруулах","Хархорин","29","28","30","17","27","16","18","18"
"Бусдын бие махбодид гэмтэл учруулах","Хужирт","2","","7","4","7","10","9","14"
"Бусдын бие махбодид гэмтэл учруулах","Булган","49","63","67","105","93","103","92","120"
"Бусдын бие махбодид гэмтэл учруулах","Булган","19","20","24","32","30","24","38","34"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Агт","1","4","3","2","","5","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Баяннуур","","","","","1","1","",""
"Бусдын бие махбодид гэмтэл учруулах","Бугат","2","3","2","4","6","5","5","8"
"Бусдын бие махбодид гэмтэл учруулах","Бүрэгхангай","3","3","1","7","7","10","7","6"
"Бусдын бие махбодид гэмтэл учруулах","Гурванбулаг","","","2","8","5","8","7","5"
"Бусдын бие махбодид гэмтэл учруулах","Дашинчилэн","","2","","3","2","2","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Могод","","1","","4","3","4","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Орхон","5","3","9","7","8","11","6","17"
"Бусдын бие махбодид гэмтэл учруулах","Рашаант","","3","1","2","2","2","","3"
"Бусдын бие махбодид гэмтэл учруулах","Сайхан","2","8","6","5","2","6","7","1"
"Бусдын бие махбодид гэмтэл учруулах","Сэлэнгэ","3","4","5","3","3","3","2","9"
"Бусдын бие махбодид гэмтэл учруулах","Тэшиг","1","2","","5","4","1","6","3"
"Бусдын бие махбодид гэмтэл учруулах","Хангал","1","5","3","12","8","5","3","10"
"Бусдын бие махбодид гэмтэл учруулах","Хишиг-Өндөр","9","3","7","5","5","12","2","10"
"Бусдын бие махбодид гэмтэл учруулах","Хутаг-Өндөр","3","2","4","6","7","4","3","9"
"Бусдын бие махбодид гэмтэл учруулах","Баянхонгор","114","118","86","122","135","132","137","231"
"Бусдын бие махбодид гэмтэл учруулах","Баянхонгор","71","75","56","79","92","91","83","154"
"Бусдын бие махбодид гэмтэл учруулах","Баацагаан","1","4","1","4","5","2","3","11"
"Бусдын бие махбодид гэмтэл учруулах","Баянбулаг","","","","1","","","","2"
"Бусдын бие махбодид гэмтэл учруулах","Баянговь","","1","2","2","1","3","3","3"
"Бусдын бие махбодид гэмтэл учруулах","Баянлиг","2","3","4","","2","","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Овоо","3","7","5","8","6","7","3","10"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Өндөр","2","1","","2","2","2","","3"
"Бусдын бие махбодид гэмтэл учруулах","Баянцагаан","2","1","","1","1","","","2"
"Бусдын бие махбодид гэмтэл учруулах","Богд","","","","3","3","1","1","8"
"Бусдын бие махбодид гэмтэл учруулах","Бөмбөгөр","4","4","3","3","1","4","9","4"
"Бусдын бие махбодид гэмтэл учруулах","Бууцагаан","3","1","1","2","4","1","5","4"
"Бусдын бие махбодид гэмтэл учруулах","Галуут","5","9","3","2","2","4","7","7"
"Бусдын бие махбодид гэмтэл учруулах","Гурванбулаг","2","1","1","1","2","1","3","3"
"Бусдын бие махбодид гэмтэл учруулах","Жаргалант","6","3","1","1","","","4","1"
"Бусдын бие махбодид гэмтэл учруулах","Жинст","4","1","","6","3","3","5","3"
"Бусдын бие махбодид гэмтэл учруулах","Заг","","1","","","2","3","","2"
"Бусдын бие махбодид гэмтэл учруулах","Өлзийт","5","2","6","3","3","6","4","5"
"Бусдын бие махбодид гэмтэл учруулах","Хүрээмарал","1","","1","","3","","","2"
"Бусдын бие махбодид гэмтэл учруулах","Шинэжинст","1","1","","1","1","1","4","1"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэцогт","2","3","2","3","2","3","2","5"
"Бусдын бие махбодид гэмтэл учруулах","Архангай","127","99","105","151","159","129","167","158"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэбулган","65","61","51","81","78","54","80","66"
"Бусдын бие махбодид гэмтэл учруулах","Батцэнгэл","8","3","4","1","6","5","6","2"
"Бусдын бие махбодид гэмтэл учруулах","Булган","2","2","4","2","6","6","4","2"
"Бусдын бие махбодид гэмтэл учруулах","Жаргалант","","1","1","2","1","1","1","3"
"Бусдын бие махбодид гэмтэл учруулах","Ихтамир","9","6","6","6","16","5","10","14"
"Бусдын бие махбодид гэмтэл учруулах","Өгийнуур","3","3","1","3","6","","3","4"
"Бусдын бие махбодид гэмтэл учруулах","Өлзийт","2","2","3","9","4","7","3","6"
"Бусдын бие махбодид гэмтэл учруулах","Өндөр-Улаан","1","1","3","1","4","4","6","7"
"Бусдын бие махбодид гэмтэл учруулах","Тариат","5","2","6","9","4","1","4","4"
"Бусдын бие махбодид гэмтэл учруулах","Төвшрүүлэх","5","3","4","4","5","2","7","7"
"Бусдын бие махбодид гэмтэл учруулах","Хайрхан","2","","1","5","4","4","8","2"
"Бусдын бие махбодид гэмтэл учруулах","Хангай","","1","2","2","","","2","1"
"Бусдын бие махбодид гэмтэл учруулах","Хашаат","2","1","3","4","4","5","7","1"
"Бусдын бие махбодид гэмтэл учруулах","Хотонт","7","3","5","5","7","7","6","7"
"Бусдын бие махбодид гэмтэл учруулах","Цахир","1","1","","1","1","1","","1"
"Бусдын бие махбодид гэмтэл учруулах","Цэнхэр","10","8","6","6","3","12","8","14"
"Бусдын бие махбодид гэмтэл учруулах","Цэцэрлэг","2","1","1","2","2","5","2","8"
"Бусдын бие махбодид гэмтэл учруулах","Чулуут","","","3","7","8","3","5","5"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэмандал","3","","1","1","","7","5","4"
"Бусдын бие махбодид гэмтэл учруулах","Хөвсгөл","150","146","165","166","210","222","235","250"
"Бусдын бие махбодид гэмтэл учруулах","Мөрөн","88","74","69","69","99","113","98","108"
"Бусдын бие махбодид гэмтэл учруулах","Алаг-Эрдэнэ","10","6","7","15","14","18","33","17"
"Бусдын бие махбодид гэмтэл учруулах","Арбулаг","3","9","4","3","4","10","4","6"
"Бусдын бие махбодид гэмтэл учруулах","Баянзүрх","5","2","4","1","2","","1","7"
"Бусдын бие махбодид гэмтэл учруулах","Бүрэнтогтох","3","2","3","6","6","11","8","11"
"Бусдын бие махбодид гэмтэл учруулах","Галт","1","5","2","6","9","6","9","2"
"Бусдын бие махбодид гэмтэл учруулах","Жаргалант","2","1","3","5","8","3","7","7"
"Бусдын бие махбодид гэмтэл учруулах","Их-Уул","2","1","8","3","6","1","2","8"
"Бусдын бие махбодид гэмтэл учруулах","Рашаант","","5","3","3","5","5","3","4"
"Бусдын бие махбодид гэмтэл учруулах","Ренчинлхүмбэ","2","2","2","1","3","3","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Тариалан","1","1","2","1","2","6","5","10"
"Бусдын бие махбодид гэмтэл учруулах","Тосонцэнгэл","5","5","11","7","6","7","5","8"
"Бусдын бие махбодид гэмтэл учруулах","Төмөрбулаг","3","3","15","9","7","9","9","7"
"Бусдын бие махбодид гэмтэл учруулах","Түнэл","6","5","17","7","7","7","11","14"
"Бусдын бие махбодид гэмтэл учруулах","Улаан-Уул","2","6","7","6","12","5","5","6"
"Бусдын бие махбодид гэмтэл учруулах","Ханх","4","4","1","2","1","1","3","4"
"Бусдын бие махбодид гэмтэл учруулах","Цагааннуур","2","1","1","3","3","1","","1"
"Бусдын бие махбодид гэмтэл учруулах","Цагаан-Уул","4","1","1","9","1","3","2","9"
"Бусдын бие махбодид гэмтэл учруулах","Цагаан-Үүр","","1","","1","","1","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Цэцэрлэг","1","2","2","3","1","2","8","5"
"Бусдын бие махбодид гэмтэл учруулах","Чандмань-Өндөр","1","4","","1","4","4","7","4"
"Бусдын бие махбодид гэмтэл учруулах","Шинэ-Идэр","3","3","1","3","7","5","6",""
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэбулган","2","3","2","2","3","1","4","8"
"Бусдын бие махбодид гэмтэл учруулах","Төвийн бүс","1,070","1,024","1,148","1,229","1,319","1,320","1,294","1,197"
"Бусдын бие махбодид гэмтэл учруулах","Төв","173","200","178","188","238","240","233","209"
"Бусдын бие махбодид гэмтэл учруулах","Зуунмод","94","47","38","36","43","47","59","40"
"Бусдын бие махбодид гэмтэл учруулах","Алтанбулаг","4","12","8","5","4","4","7","5"
"Бусдын бие махбодид гэмтэл учруулах","Аргалант","2","5","4","9","4","3","4","8"
"Бусдын бие махбодид гэмтэл учруулах","Архуст","2","2","1","3","1","2","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Батсүмбэр","5","14","12","8","30","30","15","19"
"Бусдын бие махбодид гэмтэл учруулах","Баян","","1","2","2","1","6","9","4"
"Бусдын бие махбодид гэмтэл учруулах","Баяндэлгэр","1","3","2","3","5","2","3","2"
"Бусдын бие махбодид гэмтэл учруулах","Баянжаргалан","2","3","2","","2","1","4","7"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Өнжүүл","1","","3","11","2","1","4","7"
"Бусдын бие махбодид гэмтэл учруулах","Баянхангай","1","4","1","3","5","2","6","3"
"Бусдын бие махбодид гэмтэл учруулах","Баянцагаан","1","2","","3","2","6","7","4"
"Бусдын бие махбодид гэмтэл учруулах","Баянцогт","1","3","2","8","5","4","2","2"
"Бусдын бие махбодид гэмтэл учруулах","Баянчандмань","9","5","9","9","10","10","11","9"
"Бусдын бие махбодид гэмтэл учруулах","Борнуур","5","9","10","8","8","14","9","8"
"Бусдын бие махбодид гэмтэл учруулах","Бүрэн","2","4","","2","4","5","4","2"
"Бусдын бие махбодид гэмтэл учруулах","Дэлгэрхаан","2","4","4","5","7","4","3","6"
"Бусдын бие махбодид гэмтэл учруулах","Жаргалант","5","13","10","8","7","13","14","5"
"Бусдын бие махбодид гэмтэл учруулах","Заамар","12","23","23","14","38","27","20","30"
"Бусдын бие махбодид гэмтэл учруулах","Лүн","2","4","5","9","7","9","4","3"
"Бусдын бие махбодид гэмтэл учруулах","Мөнгөнморьт","1","3","3","3","6","4","2","5"
"Бусдын бие махбодид гэмтэл учруулах","Өндөрширээт","1","","5","6","4","2","5","6"
"Бусдын бие махбодид гэмтэл учруулах","Сүмбэр","2","5","3","2","9","3","5",""
"Бусдын бие махбодид гэмтэл учруулах","Сэргэлэн","4","6","11","5","9","13","11","13"
"Бусдын бие махбодид гэмтэл учруулах","Угтаал","","6","6","5","7","2","3",""
"Бусдын бие махбодид гэмтэл учруулах","Цээл","","8","","6","6","3","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэ","5","6","4","5","5","9","10","9"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэсант","9","8","10","10","7","14","7","8"
"Бусдын бие махбодид гэмтэл учруулах","Говьсүмбэр","67","54","73","93","103","92","86","82"
"Бусдын бие махбодид гэмтэл учруулах","Сүмбэр","56","43","61","79","82","68","65","75"
"Бусдын бие махбодид гэмтэл учруулах","Баянтал","5","8","4","7","15","6","7","2"
"Бусдын бие махбодид гэмтэл учруулах","Шивээговь","6","3","8","7","6","18","14","5"
"Бусдын бие махбодид гэмтэл учруулах","Сэлэнгэ","283","204","227","240","249","301","233","216"
"Бусдын бие махбодид гэмтэл учруулах","Сүхбаатар","58","50","60","52","63","67","42","48"
"Бусдын бие махбодид гэмтэл учруулах","Алтанбулаг","11","12","18","9","2","9","6","13"
"Бусдын бие махбодид гэмтэл учруулах","Баруунбүрэн","8","1","1","3","4","6","3","3"
"Бусдын бие махбодид гэмтэл учруулах","Баянгол","2","","1","","6","14","8","11"
"Бусдын бие махбодид гэмтэл учруулах","Ерөө","10","9","9","11","17","13","19","17"
"Бусдын бие махбодид гэмтэл учруулах","Жавхлант","1","1","1","2","3","2","4","2"
"Бусдын бие махбодид гэмтэл учруулах","Зүүнбүрэн","5","2","4","5","4","6","6","5"
"Бусдын бие махбодид гэмтэл учруулах","Мандал","127","84","64","86","78","114","89","69"
"Бусдын бие махбодид гэмтэл учруулах","Орхон","9","","","5","5","5","2","6"
"Бусдын бие махбодид гэмтэл учруулах","Орхонтуул","9","2","2","12","6","11","7","7"
"Бусдын бие махбодид гэмтэл учруулах","Сайхан","18","15","26","29","24","19","16","13"
"Бусдын бие махбодид гэмтэл учруулах","Сант","6","2","6","8","5","4","7","3"
"Бусдын бие махбодид гэмтэл учруулах","Түшиг","3","2","3","3","1","2","3","2"
"Бусдын бие махбодид гэмтэл учруулах","Хүдэр","","4","4","1","3","6","3","9"
"Бусдын бие махбодид гэмтэл учруулах","Хашаат","1","1","4","5","8","8","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Цагааннуур","4","9","14","7","14","10","8","4"
"Бусдын бие махбодид гэмтэл учруулах","Шаамар","11","10","10","2","6","5","7","3"
"Бусдын бие махбодид гэмтэл учруулах","Дорноговь","203","207","220","187","196","206","223","171"
"Бусдын бие махбодид гэмтэл учруулах","Сайншанд","111","87","86","69","84","89","74","70"
"Бусдын бие махбодид гэмтэл учруулах","Айраг","2","6","8","4","41","41","6","5"
"Бусдын бие махбодид гэмтэл учруулах","Алтанширээ","","3","2","1","1","1","4",""
"Бусдын бие махбодид гэмтэл учруулах","Даланжаргалан","1","2","6","10","","","5","2"
"Бусдын бие махбодид гэмтэл учруулах","Дэлгэрэх","2","4","2","3","","","7","3"
"Бусдын бие махбодид гэмтэл учруулах","Замын-Үүд","73","79","80","61","56","64","98","67"
"Бусдын бие махбодид гэмтэл учруулах","Иххэт","2","6","8","9","","2","3","2"
"Бусдын бие махбодид гэмтэл учруулах","Мандах","1","1","","4","","","1","2"
"Бусдын бие махбодид гэмтэл учруулах","Өргөн","1","3","3","4","3","1","4","7"
"Бусдын бие махбодид гэмтэл учруулах","Сайхандулаан","","4","6","3","","","4","4"
"Бусдын бие махбодид гэмтэл учруулах","Улаанбадрах","3","2","1","4","","1","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Хатанбулаг","1","3","7","6","4","2","6","6"
"Бусдын бие махбодид гэмтэл учруулах","Хөвсгөл","1","1","7","4","7","4","3","1"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэ","5","6","4","5","","1","5","1"
"Бусдын бие махбодид гэмтэл учруулах","Дархан-Уул","213","192","251","290","297","261","249","233"
"Бусдын бие махбодид гэмтэл учруулах","Дархан","202","161","216","252","259","221","183","199"
"Бусдын бие махбодид гэмтэл учруулах","Орхон","6","3","3","2","3","4","3","2"
"Бусдын бие махбодид гэмтэл учруулах","Хонгор","1","4","7","12","7","5","11","7"
"Бусдын бие махбодид гэмтэл учруулах","Шарын гол","4","24","25","24","28","31","52","25"
"Бусдын бие махбодид гэмтэл учруулах","Өмнөговь","76","103","126","144","151","150","176","176"
"Бусдын бие махбодид гэмтэл учруулах","Даланзадгад","48","48","48","69","55","58","65","69"
"Бусдын бие махбодид гэмтэл учруулах","Баяндалай","3","3","1","2","2","4","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Овоо","1","3","2","2","3","2","2","1"
"Бусдын бие махбодид гэмтэл учруулах","Булган","3","2","","3","4","3","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Гурвантэс","2","4","9","15","13","19","24","10"
"Бусдын бие махбодид гэмтэл учруулах","Мандал-Овоо","2","2","3","3","4","1","5","1"
"Бусдын бие махбодид гэмтэл учруулах","Манлай","","1","2","","","2","4","3"
"Бусдын бие махбодид гэмтэл учруулах","Ноён","","","","2","1","","1","3"
"Бусдын бие махбодид гэмтэл учруулах","Номгон","5","","3","1","2","5","3","2"
"Бусдын бие махбодид гэмтэл учруулах","Сэврэй","2","","","","","","1","4"
"Бусдын бие махбодид гэмтэл учруулах","Ханбогд","5","18","27","13","23","15","17","30"
"Бусдын бие махбодид гэмтэл учруулах","Ханхонгор","1","1","","","1","7","6","11"
"Бусдын бие махбодид гэмтэл учруулах","Хүрмэн","1","3","3","3","3","6","10","1"
"Бусдын бие махбодид гэмтэл учруулах","Цогт-Овоо","","2","2","2","3","3","7","2"
"Бусдын бие махбодид гэмтэл учруулах","Цогтцэций","3","16","26","29","37","25","28","35"
"Бусдын бие махбодид гэмтэл учруулах","Дундговь","55","64","73","87","85","70","94","110"
"Бусдын бие махбодид гэмтэл учруулах","Сайнцагаан","35","44","35","50","45","43","52","57"
"Бусдын бие махбодид гэмтэл учруулах","Адаацаг","","2","2","6","7","4","5","9"
"Бусдын бие махбодид гэмтэл учруулах","Баянжаргалан","3","2","2","4","2","1","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Говь-Угтаал","4","2","9","4","5","4","3","2"
"Бусдын бие махбодид гэмтэл учруулах","Гурвансайхан","3","2","4","1","3","3","6","4"
"Бусдын бие махбодид гэмтэл учруулах","Дэлгэрхангай","1","1","2","5","","2","2","3"
"Бусдын бие махбодид гэмтэл учруулах","Дэлгэрцогт","1","1","6","2","4","4","5","10"
"Бусдын бие махбодид гэмтэл учруулах","Дэрэн","","2","2","3","6","1","3","2"
"Бусдын бие махбодид гэмтэл учруулах","Луус","2","1","2","1","1","2","7","7"
"Бусдын бие махбодид гэмтэл учруулах","Өлзийт","","1","1","1","1","","1","1"
"Бусдын бие махбодид гэмтэл учруулах","Өндөршил","2","1","","1","2","","","1"
"Бусдын бие махбодид гэмтэл учруулах","Сайхан-Овоо","","1","","3","1","","",""
"Бусдын бие махбодид гэмтэл учруулах","Хулд","1","","5","2","4","3","5","5"
"Бусдын бие махбодид гэмтэл учруулах","Цагаандэлгэр","1","","1","","1","1","1","5"
"Бусдын бие махбодид гэмтэл учруулах","Эрдэнэдалай","2","4","2","4","3","2","2","1"
"Бусдын бие махбодид гэмтэл учруулах","Зүүн бүс","240","216","304","396","413","362","387","436"
"Бусдын бие махбодид гэмтэл учруулах","Дорнод","119","106","172","207","172","188","171","208"
"Бусдын бие махбодид гэмтэл учруулах","Хэрлэн","84","72","144","172","112","144","129","164"
"Бусдын бие махбодид гэмтэл учруулах","Баяндун","6","5","1","4","4","2","4","5"
"Бусдын бие махбодид гэмтэл учруулах","Баянтүмэн","4","5","2","4","3","4","","3"
"Бусдын бие махбодид гэмтэл учруулах","Баян-Уул","3","3","4","8","2","5","3","6"
"Бусдын бие махбодид гэмтэл учруулах","Булган","2","3","3","2","3","4","3","3"
